,P1:10321,P4:82,MFI:160,P5 gd:1927,P7:107,MFI:8,MFI:457,P1:13393,P7 Mono:1287,P5 gd:524,P1:773,P4:5290,P5 gd:1625,P4:6227,P4:3799,P1:22213,MFI:469
0,-0.005945612938784678,-0.0005543717133867643,-0.0011429638733546077,-0.0003140577700563585,0.004139032966181122,0.0007587258822525089,0.0007595015450202469,-9.426888359981289e-05,0.0015349708210841972,0.0014019950909114065,0.001649497410104478,0.0020796775857835625,0.0022120007072913006,0.001716252909575694,0.001438457154724626,0.006127975087384302,0.012239815252733238
1,-0.002326236781595853,0.00035896140562682866,0.00048624838713134944,0.0013809589485540563,0.0010480189911395987,0.001690487503544169,4.701350489216827e-06,-0.0008203403943527476,0.002168744743601958,0.0025841858624468528,0.003196206325043527,-0.0002790064919331037,0.00020192296706184054,0.0029610574513670718,0.002022098082769652,0.005284454851175513,0.009590047977276
2,-0.002618226965311221,0.00038911780738781765,-0.0016717599391376792,0.0016941573579924152,-0.0036223954502388467,-0.00020510184903713147,0.0001922071587819596,0.000669832357924588,0.0018660021211074906,-1.628616842766495e-05,0.0018511657392070446,0.002742826366992579,0.0019276213072121073,0.0008272741862337119,0.0023128629042936666,0.0073739399711612585,0.014716987248875435
3,0.0026926821784328536,-0.000924939681614334,-0.002003298632926309,-0.0005938257622141729,-0.0014554758796933298,-0.0022586369736415646,-0.0004842026324724247,0.001444129242824832,-0.00044202934859594034,0.0005828928278456824,0.0009258782650667097,0.0013623608123614905,3.99927621732854e-05,0.0008959332750338722,0.0030862565458689983,0.005611042177264297,0.00875637284998912
4,-0.00047779936464484307,-0.0012908383105046106,-0.0015728684492718747,-0.0005996254936740664,0.0011693598491233637,0.0012136946894131806,0.00015265948543538577,0.0007282284487365731,0.0008055201057314276,-0.0027633004917281268,-0.0016771099809355372,0.004144465775606593,0.004168964163101363,0.001912461082296174,0.0018116192678167553,0.006079990182312228,0.013719487317823936
5,-0.00020931170970120427,-0.0015379293508332448,-0.00011179948079600988,-0.0006806189652383832,-0.0011058960484008618,-0.0007962198611926041,-0.0008657051264905902,0.00034893202598257345,0.0005827829876826063,0.0028650470314298404,0.0012332149591156305,0.0033105941138262263,0.003542679853636016,0.003301145424733254,0.0011117685626513552,0.0035267034076152393,0.012219657911768711
6,0.002048171470262955,-0.00015143300166764462,0.0012253859707652692,-0.0010542950755848823,0.0016490341810092568,-0.002228453506646938,0.0015713855885187422,0.0008078168251982876,0.00011861577914715205,0.00018507420072730318,0.000963533882012646,0.00034858429946793557,0.0019145458972207874,0.003962161757533028,0.0031666404642566037,0.015071273202794833,0.01599299582657382
7,-0.00029023690776372457,-0.001309832909359987,-0.00063818404830146,-0.0008335554080587393,0.001900153463565507,-0.0007354943746726295,0.0005676882458823529,0.0010607019607532242,-0.0008983792483786002,0.002441119748259696,0.0034000810505722123,0.0005558763440383085,-1.3329121645866415e-06,0.003980423732071026,0.0032624626536832957,0.004249054973067712,0.010802611274619595
8,-0.004246448951277543,-0.0009622177078201233,-0.0008861220642785439,-0.0019342466187688423,-0.00182509348688209,0.005588139202030273,0.00024118120648305985,-0.0005038076149286863,0.0028610713800087395,-8.629049161862357e-05,0.0007172264060989753,-0.0019459331459449336,0.0018892296601560055,-0.004198342753917089,0.002546167516832093,0.005209052865185471,0.010777490689528435
9,-0.0014967933209273088,-0.0004926340268454621,0.0010774740200070465,-0.0022751285605291938,-0.0031583606471650427,-0.002853228946019526,0.000969784421011477,0.0017629726136816903,-0.0003161664690959076,0.0015339028123956266,0.0012790848122023468,0.0029752807687207783,0.00015116106198656554,0.006108381971092758,0.003679763036363304,0.006842395614481245,0.010804597855981923
