,max_depth,n_estimators,neg_mae
0,10,160,-0.22030624918793257
1,11,160,-0.21986089643245185
2,12,160,-0.21997138715168285
3,13,160,-0.21990754192974143
4,14,160,-0.2201647103968897
5,15,160,-0.22005894665246023
6,16,160,-0.22004447050491974
7,17,160,-0.22009125609378372
8,18,160,-0.2195848399455937
9,19,160,-0.2201978341817497
10,20,160,-0.219825863398244
11,21,160,-0.21994480496525534
12,22,160,-0.2197582813173347
13,23,160,-0.21944135743239612
14,24,160,-0.21960347480338296
15,25,160,-0.2196301990748223
16,26,160,-0.22014800234997853
17,27,160,-0.21962475507029744
18,28,160,-0.22009680867539333
19,29,160,-0.22002076179029312
20,30,160,-0.2200909261541156
21,31,160,-0.21950194933742734
22,32,160,-0.2200791670033399
23,33,160,-0.21909182759642326
24,34,160,-0.2197987982452597
25,35,160,-0.21986613876319766
26,36,160,-0.22015029004390224
27,37,160,-0.21980429611748553
28,38,160,-0.21998121363930193
29,39,160,-0.21977255794144587
30,40,160,-0.21987918316365013
31,41,160,-0.21994475614765144
32,42,160,-0.21985079404357907
33,43,160,-0.21999539851998495
34,44,160,-0.2197533482142858
35,45,160,-0.22001582868724423
36,46,160,-0.21997461484593844
37,47,160,-0.22003011793659777
38,48,160,-0.21966728614522735
39,49,160,-0.22001089810924376
40,50,160,-0.21980724874084254
