,labels,weights,abs_weights
725,P7 Mono:5308,-0.015019037993539125,0.015019037993539125
1078,P4:5179,0.005538734691701043,0.005538734691701043
2879,P4:5927,0.0003604754828608246,0.0003604754828608246
4412,P6 earlyB:127,0.010185124847258658,0.010185124847258658
4987,P5 CD8:148,0.0015541658674303421,0.0015541658674303421
5358,P3:5879,0.02825168177072583,0.02825168177072583
5694,P1:5924,-0.007476079236536926,0.007476079236536926
5983,P4:4546,-0.011052160891328771,0.011052160891328771
6047,P2:25272,-0.0006814885134785235,0.0006814885134785235
6121,P3:856,0.0010303513865424813,0.0010303513865424813
6438,P5 gd:382,0.009355811899138994,0.009355811899138994
6487,P4:5260,0.01005931407573346,0.01005931407573346
7107,MFI:121,0.008134297899217085,0.008134297899217085
8507,P2:23337,-0.003486526402479215,0.003486526402479215
12285,P3:5166,0.02607839853213619,0.02607839853213619
12335,P2:25248,-0.009685620791842958,0.009685620791842958
12442,P4:3087,-0.003205430080434189,0.003205430080434189
12599,P3:7900,0.01497027115505503,0.01497027115505503
13269,P1:22210,-0.059597447484358135,0.059597447484358135
13345,P7 Mono:930,0.0045835562357822565,0.0045835562357822565
14364,P3:7978,0.01828621414827621,0.01828621414827621
14798,MFI:457,0.04302262192229708,0.04302262192229708
15058,P3:5660,-0.00040101565307512497,0.00040101565307512497
15147,P4:6239,0.008999604701689076,0.008999604701689076
15899,MFI:469,-0.18473836197988697,0.18473836197988697
16033,P3:5798,0.01674869746538203,0.01674869746538203
17088,P2:22439,-0.03233242871659235,0.03233242871659235
17119,P4:5491,-0.011935016907352847,0.011935016907352847
17184,P1:12669,-0.011214345504896703,0.011214345504896703
17205,P1:20389,-0.016967530926418718,0.016967530926418718
18097,P3:8351,0.013017097119284015,0.013017097119284015
19522,MFI:131,0.029837432961471164,0.029837432961471164
19976,P5 gd:1114,-0.0029620469608156847,0.0029620469608156847
20243,P4:6212,0.006893757415320418,0.006893757415320418
20805,P5 gd:1699,0.02505133536259855,0.02505133536259855
22358,P3:8587,0.004333044888638066,0.004333044888638066
22545,P1:20054,-0.042009153245028026,0.042009153245028026
22871,P5 gd:1727,-0.010743256151545722,0.010743256151545722
23578,P2:11733,-0.00569950945633545,0.00569950945633545
24314,P2:11734,-0.002685817460438898,0.002685817460438898
27112,P1:22453,-0.004032167030850094,0.004032167030850094
27562,P7 Mono:5284,-0.011747761954973996,0.011747761954973996
28834,P5 gd:274,0.010267220729268688,0.010267220729268688
28943,P5 gd:1934,0.0023064545253880155,0.0023064545253880155
29627,P7 Mono:5604,-1.8644389242074932e-05,1.8644389242074932e-05
30549,P4:6286,0.012446107631351976,0.012446107631351976
31184,P3:5097,0.014971548944245927,0.014971548944245927
31233,P7 Mono:5311,-0.019900937471271835,0.019900937471271835
34238,MFI:16,0.017239956246009786,0.017239956246009786
34456,P2:1643,-0.007365681293034499,0.007365681293034499
35169,P1:10564,-0.028688553222452604,0.028688553222452604
37145,P4:5281,0.018065509544188247,0.018065509544188247
37846,P1:22213,-0.04760294649712427,0.04760294649712427
37917,P4:6131,0.0004494810115980385,0.0004494810115980385
38117,P1:24828,-0.00025265550440683104,0.00025265550440683104
38620,P7 Mono:6426,-0.014815882363601863,0.014815882363601863
38664,P1:23378,-0.0286555402932591,0.0286555402932591
39075,P2:22358,-0.0006218000761437266,0.0006218000761437266
39213,P4:3808,-0.0008299132186609859,0.0008299132186609859
39443,P3:7897,0.0032305155362281047,0.0032305155362281047
40638,P4:5206,0.00866711707417044,0.00866711707417044
40724,P5 gd:1702,0.00768380598292281,0.00768380598292281
41786,P5 gd:1983,-0.011099717176772042,0.011099717176772042
42174,P5 gd:197,0.025156097101279567,0.025156097101279567
42347,P4:3781,-0.006807941414400468,0.006807941414400468
42953,P5 gd:370,0.02256687188658138,0.02256687188658138
46257,P1:12660,-0.030288672776134715,0.030288672776134715
46298,P7 Mono:5527,-0.007106045566414281,0.007106045566414281
48407,P4:6000,0.0004303615537621871,0.0004303615537621871
49288,P5 gd:265,0.00820370038991193,0.00820370038991193
49338,P4:5287,0.01307955963718817,0.01307955963718817
49398,P5 gd:1328,-0.019366577297624723,0.019366577297624723
50978,P4:5254,0.023796450308587826,0.023796450308587826
51725,P2:20142,-0.013564517321666036,0.013564517321666036
52068,P1:20308,-0.0029502157907519205,0.0029502157907519205
52692,P1:10537,-0.010753394802184487,0.010753394802184487
52906,P7 Mono:5554,-0.0034294310815480133,0.0034294310815480133
53329,P1:10536,-0.008852832004848444,0.008852832004848444
55546,P4:4794,-0.025243292351668802,0.025243292351668802
56259,P4:82,-0.009240519910561162,0.009240519910561162
59151,P1:20127,-0.018094497876691776,0.018094497876691776
59516,MFI:472,0.0321707787980053,0.0321707787980053
59636,P2:24551,-0.01375580508654433,0.01375580508654433
59722,P4:6158,0.002385238482803029,0.002385238482803029
60101,P5 gd:169,0.037090016999425275,0.037090016999425275
61174,P3:8354,0.023289550834568535,0.023289550834568535
61767,P5 gd:459,-0.0005124262985758892,0.0005124262985758892
61943,P7 Mono:3872,6.900198358261133e-06,6.900198358261133e-06
61978,P4:32,-0.005702872300549964,0.005702872300549964
62430,MFI:570,0.0696118430439619,0.0696118430439619
